Protocol Version,Game Version,Datapack Version,Resource Pack Version,CornCraft Data Version,Minecraft Data Version,Last Protocol Revision (Merged into Minecraft Wiki)
751,1.16.2,6,6,1.16.5,2578,Protocol page was not available for this version UwU
753,1.16.3/1.16.4,6,6,1.16.5,2584,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772586
754,1.16.5,6,6,1.16.5,2586,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772660
755,1.17,7,7,1.17.1,2724,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772683
756,1.17.1,7,7,1.17.1,2730,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772734
757,1.18/1.18.1,8,8,1.18.2,2865,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772764
758,1.18.2,9,8,1.18.2,2975,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772791
759,1.19/1.19.1,10,9,1.19.2,3117,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772904
760,1.19.2,10,9,1.19.2,3120,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2772944
761,1.19.3,10,12,1.19.3,3218,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2773017
762,1.19.4,12,13,1.19.4,3337,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2773029
763,1.20/1.20.1,15,15,1.20.1,3465,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2773082
764,1.20.2,18,18,1.20.2,3578,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2773142
765,1.20.3/1.20.4,26,22,1.20.4,3700,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2773281
766,1.20.5/1.20.6,41,32,1.20.6,3839,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2773290
767,1.21/1.21.1,48,34,1.21.1,3955,https://minecraft.wiki/w/Java_Edition_protocol?oldid=2789623
768,1.21.2/1.21.3,57,42,1.21.3,4082,Protocol page was not available for this version UwU
769,1.21.4,61,46,1.21.4,4189,https://minecraft.wiki/w/Java_Edition_protocol
